scenario,scheduler,cluster,arrival_rate,failure_rate,controller,seed,n_dags,mean_makespan,mean_imbalance,mean_locality,throughput,n_failures,n_adaptations,wall_seconds
C_failure,RL,skewed_8,0.15,0.0,off,3,63,31.790140908668338,0.0596731441231244,0.3881922310493739,0.1575,0,0,0.0
C_failure,RL,skewed_8,0.15,0.05,off,1,65,36.38912295106509,0.07687022252887003,0.40190873229334767,0.1625,4,0,0.0
C_failure,RL,skewed_8,0.15,0.05,off,2,55,34.39254884143731,0.07571675808038157,0.36531735940826854,0.1375,1,0,0.0
C_failure,RL,skewed_8,0.15,0.05,off,3,63,38.31252548953368,0.06707144875492915,0.3975650451840928,0.1575,2,0,0.0
C_failure,RL,skewed_8,0.15,0.1,off,1,65,30.76098871105968,0.07315897419895738,0.38251923290384826,0.1625,4,0,0.0
C_failure,RL,skewed_8,0.15,0.1,off,2,55,33.6893966024895,0.08372270369662461,0.3721481296481296,0.1375,2,0,0.0
C_failure,RL,skewed_8,0.15,0.1,off,3,63,27.356873337667242,0.060606752724245025,0.4042258006543721,0.1575,5,0,0.0
C_failure,RL,skewed_8,0.15,0.2,off,1,65,35.90093037580164,0.09880715319041287,0.37016385324077633,0.1625,11,0,0.0
C_failure,RL,skewed_8,0.15,0.2,off,2,55,37.056684802547295,0.09653753099133904,0.3632724850906669,0.1375,8,0,0.0
C_failure,RL,skewed_8,0.15,0.2,off,3,63,32.19660717644078,0.07038140863776202,0.4438318515699468,0.1575,11,0,0.0
D_autonomic,HEFT-LC,homogeneous,0.12,0.0,off,1,103,26.899319109165955,0.006687762746237194,0.58514388793515,0.12875,0,0,0.0
D_autonomic,HEFT-LC,homogeneous,0.12,0.0,off,2,89,27.46815434223054,0.00618402968406861,0.5745810057607811,0.11125,0,0,0.0
D_autonomic,HEFT-LC,homogeneous,0.12,0.0,off,3,103,27.74416062383941,0.005770241949988529,0.603557311081583,0.12875,0,0,0.0
D_autonomic,HEFT-LC,homogeneous,0.12,0.0,off,4,90,26.00396951131652,0.008610657214757313,0.5664130622463955,0.1125,0,0,0.0
D_autonomic,HEFT-LC,homogeneous,0.12,0.0,on,1,103,23.416256496822136,0.007586301766008848,0.6754323885391846,0.12875,0,3,0.0
D_autonomic,HEFT-LC,homogeneous,0.12,0.0,on,2,89,23.676988346442986,0.006430351580505349,0.6369070848003432,0.11125,0,3,0.0
D_autonomic,HEFT-LC,homogeneous,0.12,0.0,on,3,103,23.923086490067167,0.006596031398945524,0.662915913644069,0.12875,0,3,0.0
D_autonomic,HEFT-LC,homogeneous,0.12,0.0,on,4,90,21.924044228811216,0.0092305588860736,0.6303030765530765,0.1125,0,3,0.0
D_autonomic,HEFT-LC,skewed_8,0.12,0.0,off,1,103,15.671501192789066,0.031047675933498716,0.40368448972817905,0.12875,0,0,0.0
D_autonomic,HEFT-LC,skewed_8,0.12,0.0,off,2,89,15.849046343340895,0.019510016037083085,0.3798121510200162,0.11125,0,0,0.0
D_autonomic,HEFT-LC,skewed_8,0.12,0.0,off,3,103,15.511783268473547,0.025907741910893498,0.4058016821366336,0.12875,0,0,0.0
D_autonomic,HEFT-LC,skewed_8,0.12,0.0,off,4,90,14.5711120454294,0.026303160335571545,0.37518188601521935,0.1125,0,0,0.0
D_autonomic,HEFT-LC,skewed_8,0.12,0.0,on,1,103,16.85103262943861,0.029630820638271695,0.4135602531233599,0.12875,0,17,0.0
D_autonomic,HEFT-LC,skewed_8,0.12,0.0,on,2,89,16.109697998242392,0.02112641850917759,0.3818706574324552,0.11125,0,11,0.0
D_autonomic,HEFT-LC,skewed_8,0.12,0.0,on,3,103,15.706522725454167,0.02617103565036528,0.3919481273850206,0.12875,0,11,0.0
D_autonomic,HEFT-LC,skewed_8,0.12,0.0,on,4,90,15.120363118691275,0.025075591132101494,0.3783828825495492,0.1125,0,15,0.0
