cluster,scheduler,seed,arrival,phase,makespan,imbalance,epsilon,locality
skewed_8,HEFT-LC,1,269.23249483322235,light,10.318844897921622,0.00575609830991103,0.05,0.26666666666666666
skewed_8,HEFT-LC,1,269.97351487544864,light,13.391786524708891,0.009128794833389537,0.05,0.42857142857142855
skewed_8,HEFT-LC,1,287.33567678555664,light,2.116251214949898,0.0023943843141329634,0.05,0.16666666666666666
skewed_8,HEFT-LC,1,300.2639684740559,light,8.251361277342596,0.004846348779236475,0.05,0.07142857142857142
skewed_8,HEFT-LC,1,310.41843260987145,burst,16.915246176470248,0.006377803518890195,0.05,0.07142857142857142
skewed_8,HEFT-LC,1,313.0653157241566,burst,28.905700006793495,0.01783510708827316,0.05,0.2222222222222222
skewed_8,HEFT-LC,1,318.0732029977274,burst,44.85889854417013,0.022384729350741477,0.05,0.4
skewed_8,HEFT-LC,1,324.8741994921314,burst,31.101547738306294,0.016840718884550823,0.05,0.5
skewed_8,HEFT-LC,1,330.46929332033966,burst,20.551606812399427,0.009719537258914425,0.05,0.4444444444444444
skewed_8,HEFT-LC,1,333.5223891846825,burst,35.85057363267691,0.008354416154147167,0.05,0.2222222222222222
skewed_8,HEFT-LC,1,334.18708080353167,burst,10.015391761002263,0.003540400437245382,0.05,0.375
skewed_8,HEFT-LC,1,340.3322360136486,burst,24.089324887516966,0.019454174273111427,0.05,0.2857142857142857
skewed_8,HEFT-LC,1,340.38112605230765,burst,13.508198520716064,0.009601080077374567,0.05,0.7
skewed_8,HEFT-LC,1,341.061422642891,burst,24.851243263289234,0.01202068733044809,0.05,0.4
skewed_8,HEFT-LC,1,351.18033064796117,burst,20.266638571049725,0.005322767382796499,0.05,0.36363636363636365
skewed_8,HEFT-LC,1,355.2228745448065,burst,21.058310590209885,0.012061469512372441,0.05,0.2222222222222222
skewed_8,HEFT-LC,1,356.6248500836989,burst,21.744589628300957,0.00601236282335253,0.05,0.5714285714285714
skewed_8,HEFT-LC,1,359.00347212258936,burst,12.778853569898786,0.0057875221532668625,0.05,0.16666666666666666
skewed_8,HEFT-LC,1,359.0635588480776,burst,8.9555486307043,0.003975497320057278,0.05,0.375
skewed_8,HEFT-LC,1,363.1283720504044,burst,15.70975224355874,0.007702545220543563,0.05,0.2
skewed_8,HEFT-LC,1,368.45687762271075,burst,22.586771022733387,0.010240125155674084,0.05,0.1
skewed_8,HEFT-LC,1,370.1314051440857,burst,23.871287155867606,0.006468986124265223,0.05,0.21428571428571427
skewed_8,HEFT-LC,1,370.33335117281473,burst,16.2110548863551,0.004499688078255233,0.05,0.5
skewed_8,HEFT-LC,1,371.55281971789765,burst,30.275667343380974,0.011244973989855847,0.05,0.14285714285714285
skewed_8,HEFT-LC,1,372.1268917222074,burst,30.40937000531767,0.012629882307889593,0.05,0.5
skewed_8,HEFT-LC,1,377.8320542985591,burst,16.14142655563637,0.007644525210361168,0.05,0.4
skewed_8,HEFT-LC,1,381.0834258302367,burst,5.21360947117671,0.00520247921780581,0.05,0.6666666666666666
skewed_8,HEFT-LC,1,383.9229855890369,burst,21.0635881446741,0.009546295888918211,0.05,0.125
skewed_8,HEFT-LC,1,393.1892444242728,burst,14.91863460956597,0.004078544237124082,0.05,0.25
skewed_8,HEFT-LC,1,396.3461804965384,burst,8.512671347341438,0.0026973341333155648,0.05,0.16666666666666666
skewed_8,HEFT-LC,1,402.84175102466054,burst,15.138721355880307,0.00669835967544985,0.05,0.25
skewed_8,HEFT-LC,1,404.7110416890446,burst,30.228333530399368,0.013037539109786774,0.05,0.36363636363636365
skewed_8,HEFT-LC,1,406.11559360695577,burst,25.666074460267055,0.004406735298162974,0.05,0.5
skewed_8,HEFT-LC,1,407.006958726302,burst,32.32944348855699,0.017957472565237068,0.05,0.14285714285714285
skewed_8,HEFT-LC,1,415.0702309086871,burst,13.730636127670778,0.00923020578327136,0.05,0.8333333333333334
skewed_8,HEFT-LC,1,421.20250704907545,burst,11.72617027540241,0.003467761767286056,0.05,0.125
skewed_8,HEFT-LC,1,427.937732754254,burst,20.34006892216837,0.005101202782828475,0.05,0.4666666666666667
skewed_8,HEFT-LC,1,428.42248550734973,burst,23.525120224752072,0.010437519293760692,0.05,0.2857142857142857
skewed_8,HEFT-LC,1,428.6758534589876,burst,12.614957122334545,0.005231831104155087,0.05,0.75
skewed_8,HEFT-LC,1,429.08190910017066,burst,23.690926976236483,0.007230624134918643,0.05,0.4444444444444444
skewed_8,HEFT-LC,1,431.90120651799486,burst,15.265153812054336,0.00405937233147474,0.05,0.4444444444444444
skewed_8,HEFT-LC,1,439.2821478139949,burst,25.829213641435103,0.0074021177333154975,0.05,0.5333333333333333
skewed_8,HEFT-LC,1,446.8511252811305,burst,17.043129692728485,0.008342122643251283,0.05,0.375
skewed_8,HEFT-LC,1,450.02139621144084,burst,7.215095652284049,0.005109308063593592,0.05,0.5
skewed_8,HEFT-LC,1,450.93457803603513,burst,16.105689366773163,0.004526512850270116,0.05,0.5
skewed_8,HEFT-LC,1,451.5451848755927,burst,10.750449989434856,0.004130500528893523,0.05,0.25
skewed_8,HEFT-LC,1,459.60010294466326,burst,40.6856037873622,0.015518413881773085,0.05,0.4166666666666667
skewed_8,HEFT-LC,1,462.2633443997587,burst,14.11160684467211,0.01044540457030146,0.05,0.6
skewed_8,HEFT-LC,1,463.53624500401924,burst,13.001078603022734,0.006229859931306476,0.05,0.5
skewed_8,HEFT-LC,1,466.56209127953707,burst,7.274178183821505,0.004184855275401413,0.05,0.3333333333333333
